Иванов Иван Иванович#ivan.ivanov@example.com
Петров Петр Петрович#petr.petrov@example.com
Сидоров Сидор Сидорович#sidor.sidorov@example.com
Васильев Василий Васильевич#vasiliy.vasiliev@example.com
Федоров Федор Федорович#fedor.fedorov@example.com
Михайлов Михаил Михайлович#mikhail.mikhaylov@example.com
Александров Александр Александрович#aleksandr.aleksandrov@example.com
Романов Роман Романович#roman.romanov@example.com
Алексеев Алексей Алексеевич#aleksey.alekseev@example.com
Борисов Борис Борисович#boris.borisov@example.com

